epoch,train_loss,val_loss,fold,train_end
1,0.016933958092704416,0.002647915156558156,0,2003-01-07
2,0.0033677712082862852,0.0011037274380214512,0,2003-01-07
3,0.0019140629679895937,0.0007637472881469876,0,2003-01-07
4,0.0015153640764765442,0.0004939301579724997,0,2003-01-07
5,0.0013709554565139114,0.0005390746518969536,0,2003-01-07
6,0.0012568429810926318,0.0006902184977661818,0,2003-01-07
7,0.0011802777997218072,0.00043802747677545995,0,2003-01-07
8,0.0010239341703709216,0.0004127225693082437,0,2003-01-07
9,0.000772934197448194,0.00042707523971330374,0,2003-01-07
10,0.0007405618962366134,0.0004206294834148139,0,2003-01-07
11,0.0006552251899847761,0.00039814003685023636,0,2003-01-07
12,0.0005575653893174603,0.0003902205789927393,0,2003-01-07
13,0.0005163287743926049,0.00039473906508646905,0,2003-01-07
14,0.0004627347138011828,0.00040886188799049705,0,2003-01-07
15,0.0004628880065865815,0.00039099577406886965,0,2003-01-07
16,0.0004435593553353101,0.0003836359246633947,0,2003-01-07
17,0.00043782205611933025,0.00036619680031435564,0,2003-01-07
18,0.00043200885411351917,0.00035717443824978545,0,2003-01-07
19,0.00037788255576742813,0.0003828958433587104,0,2003-01-07
20,0.00041834852600004525,0.0003798474499490112,0,2003-01-07
21,0.0003992893733084202,0.00037598030758090317,0,2003-01-07
22,0.00040723854035604743,0.0003703219845192507,0,2003-01-07
1,0.0176868859368066,0.0035417254985077307,1,2003-07-09
2,0.003349277889356017,0.0008397493293159641,1,2003-07-09
3,0.0018975782732013613,0.0005242575643933378,1,2003-07-09
4,0.0014869392325636,0.0003265795166953467,1,2003-07-09
5,0.0012398239341564476,0.000443807577539701,1,2003-07-09
6,0.0011777285835705698,0.0003920660601579584,1,2003-07-09
7,0.0010974448474977787,0.0002985782266478054,1,2003-07-09
8,0.0009364301416402062,0.0002713693247642368,1,2003-07-09
9,0.0009792065053867798,0.0002285615701111965,1,2003-07-09
10,0.0008633717322178806,0.0002964983068522997,1,2003-07-09
11,0.000854062714400546,0.0001954577601281926,1,2003-07-09
12,0.0007819677703082561,0.00027431724447524175,1,2003-07-09
13,0.0007263968873303384,0.0002382098464295268,1,2003-07-09
14,0.000619048259977717,0.00019315478130010888,1,2003-07-09
15,0.0006690928469955301,0.00019628091831691563,1,2003-07-09
16,0.0005739784028264694,0.00022493214419228025,1,2003-07-09
17,0.0005834111119232451,0.00020668329671025276,1,2003-07-09
18,0.0005701717018382624,0.00023180241259979084,1,2003-07-09
1,0.014038265915587544,0.0005434921768028289,2,2004-01-07
2,0.0022878619461802635,0.0012046883542401095,2,2004-01-07
3,0.0018100198275143547,0.00018375606547730664,2,2004-01-07
4,0.00152158279005172,0.00022143770183902234,2,2004-01-07
5,0.001318495520016378,0.00012050798977725208,2,2004-01-07
6,0.0011086361836143105,0.00012935435612841198,2,2004-01-07
7,0.0008960870493735586,0.0003173992154188454,2,2004-01-07
8,0.0008287712119649118,0.00012068260063339646,2,2004-01-07
9,0.0008836534231834646,0.00011063916463172063,2,2004-01-07
10,0.0006764276513422374,0.0002501670630105461,2,2004-01-07
11,0.0006408702169470157,9.848633150492485e-05,2,2004-01-07
12,0.0007065586936992726,0.00017333883927979818,2,2004-01-07
13,0.0006009774993539654,6.652696053303468e-05,2,2004-01-07
14,0.0005301764488519568,0.00011998328409390524,2,2004-01-07
15,0.0004466361237323976,0.00011131374534064283,2,2004-01-07
16,0.0004726208413298342,9.812620070685323e-05,2,2004-01-07
17,0.0003953328913277281,0.0002313154594351848,2,2004-01-07
1,0.017067220356936256,0.00019719526365709802,3,2004-07-09
2,0.002216332871466875,7.22830858042774e-05,3,2004-07-09
3,0.0016104628487179677,6.519326416309923e-05,3,2004-07-09
4,0.0012645971029996872,0.00013103611127007753,3,2004-07-09
5,0.0009986998202900091,8.094872706957783e-05,3,2004-07-09
6,0.000878187835526963,5.171364925142067e-05,3,2004-07-09
7,0.0008410477079451084,8.634850261538911e-05,3,2004-07-09
8,0.0007414983624281983,0.00023933303115578988,3,2004-07-09
9,0.000707081111613661,4.8950338774981596e-05,3,2004-07-09
10,0.0006741479660073916,5.452356344903819e-05,3,2004-07-09
11,0.0006062971932503084,9.002129566700508e-05,3,2004-07-09
12,0.0005909377844848981,5.2460591784135126e-05,3,2004-07-09
13,0.0005178065737709403,6.00337989453692e-05,3,2004-07-09
1,0.01011321903206408,0.0009732345157923797,4,2005-01-06
2,0.0021752974374548476,0.00029389977620060864,4,2005-01-06
3,0.0015247248024131883,0.0003285380662418902,4,2005-01-06
4,0.0011691590223242255,0.0001983131563368564,4,2005-01-06
5,0.0009353384923409013,8.702227690567572e-05,4,2005-01-06
6,0.0007917302941410419,0.00011832778909592889,4,2005-01-06
7,0.0007652420043835745,0.0002845000756982093,4,2005-01-06
8,0.0007017389049424845,0.00043950813900058466,4,2005-01-06
9,0.0006468829524237663,0.00012370718468446285,4,2005-01-06
1,0.01124262114325048,0.0014722362102475017,5,2005-07-08
2,0.001460216412516801,0.00015418910697917454,5,2005-07-08
3,0.0010859152381798548,9.698151916381903e-05,5,2005-07-08
4,0.0009990679651596828,0.00013250101073936094,5,2005-07-08
5,0.0009691749521727232,5.961629904049914e-05,5,2005-07-08
6,0.0009180407505482435,0.0002982803707709536,5,2005-07-08
7,0.0007482555382394869,8.066366899583954e-05,5,2005-07-08
8,0.000627881459781508,7.874394941609353e-05,5,2005-07-08
9,0.0005579048485838269,0.00016661193876643665,5,2005-07-08
1,0.008628999604843557,0.00046812629443593323,6,2006-01-06
2,0.0017505627038190141,0.00019220977264922112,6,2006-01-06
3,0.0010282580187777057,0.000132266408400028,6,2006-01-06
4,0.0007864639977924526,0.0001190496750496095,6,2006-01-06
5,0.0006343638757243753,0.00015062532656884287,6,2006-01-06
6,0.0005117980967042967,6.948736790945986e-05,6,2006-01-06
7,0.00044220037816558035,0.00014530482440022752,6,2006-01-06
8,0.000406946666771546,6.016775023454102e-05,6,2006-01-06
9,0.0003462837266852148,4.890980744676199e-05,6,2006-01-06
10,0.00032451992010464894,0.0001419226173311472,6,2006-01-06
11,0.00030486490577459336,0.00012057392450515181,6,2006-01-06
12,0.0002888645620259922,8.3503302448662e-05,6,2006-01-06
13,0.0002875842110370286,6.163727448438294e-05,6,2006-01-06
1,0.01154846116498282,0.000851517885166686,7,2006-07-10
2,0.0014951746455732393,0.00015409713887493126,7,2006-07-10
3,0.0011939197138417512,0.0001112275967898313,7,2006-07-10
4,0.0010521058151921766,0.00011293249190202914,7,2006-07-10
5,0.0008778889631767842,7.171333982114447e-05,7,2006-07-10
6,0.0007965705087620088,7.11261309334077e-05,7,2006-07-10
7,0.0007335478016598659,6.351798947434872e-05,7,2006-07-10
8,0.000592139782384038,8.880425502866274e-05,7,2006-07-10
9,0.0005391010345192626,7.210028070403496e-05,7,2006-07-10
10,0.0004634057814572853,7.015639857854694e-05,7,2006-07-10
11,0.00040328000944679263,0.00012837545909860637,7,2006-07-10
1,0.013442121795378625,0.00039997876738198104,8,2007-01-09
2,0.0019347116952606787,0.00037087279197294264,8,2007-01-09
3,0.0014377612630293395,0.00010543681783019565,8,2007-01-09
4,0.0012692447974889849,0.0001257782249012962,8,2007-01-09
5,0.0010034462126592796,7.580880555906333e-05,8,2007-01-09
6,0.000816916781332111,7.431645717588253e-05,8,2007-01-09
7,0.0007274422338620449,5.4495021686307155e-05,8,2007-01-09
8,0.0006934790205074629,4.319322324590758e-05,8,2007-01-09
9,0.0005622127415942183,4.570092205540277e-05,8,2007-01-09
10,0.000495186677047362,5.3878653125138955e-05,8,2007-01-09
11,0.00047810195853041176,4.155906390224118e-05,8,2007-01-09
12,0.0004884208077176785,0.00012034287210553885,8,2007-01-09
13,0.000518486581616647,6.800040537200403e-05,8,2007-01-09
14,0.0004911912643971542,3.633278010966024e-05,8,2007-01-09
15,0.00040108572829922196,0.0001285728852963075,8,2007-01-09
16,0.00034181069228604127,7.34965011361055e-05,8,2007-01-09
17,0.00036409379087369115,3.575776318029966e-05,8,2007-01-09
18,0.0003455410648408967,5.01406528201187e-05,8,2007-01-09
19,0.00032788450698717497,0.00010896025778492913,8,2007-01-09
20,0.00031725306204558973,4.548975775833242e-05,8,2007-01-09
21,0.0003085988209932111,4.209986618661787e-05,8,2007-01-09
1,0.008497975124046207,0.0001816497548134066,9,2007-07-11
2,0.0014959550695493816,0.0004077444551512599,9,2007-07-11
3,0.001198037809226662,0.00017671336245257409,9,2007-07-11
4,0.0009216213645413518,0.00026669686267268846,9,2007-07-11
5,0.0007970940694212913,0.00013127719867043198,9,2007-07-11
6,0.0006733101047575474,7.545537227997557e-05,9,2007-07-11
7,0.0005881075281649828,0.000102903378137853,9,2007-07-11
8,0.00047356319963000717,0.00011512402998050674,9,2007-07-11
9,0.0004232255613896996,5.3699867567047474e-05,9,2007-07-11
10,0.00038332763768266886,5.208563452470116e-05,9,2007-07-11
11,0.00032925735344178973,0.0001476100558647886,9,2007-07-11
12,0.0003034981951350346,6.170949345687404e-05,9,2007-07-11
13,0.0002896492090076208,6.185476740938611e-05,9,2007-07-11
14,0.00029149339825380595,6.240778384380974e-05,9,2007-07-11
1,0.008667397692247673,0.0007982850424014032,10,2008-01-09
2,0.0017519073164159501,0.00024199636827688665,10,2008-01-09
3,0.0012898885459570145,0.000226999944425188,10,2008-01-09
4,0.0008292412105085397,0.00014602378651034086,10,2008-01-09
5,0.0006542021432391333,0.00023601322318427264,10,2008-01-09
6,0.0005619108732962222,0.000157807650975883,10,2008-01-09
7,0.0004695024528902852,0.00014513104397337884,10,2008-01-09
8,0.0004054429462283022,0.00016694186779204757,10,2008-01-09
