epoch,train_loss,val_loss,fold,train_end
1,0.0028612034860998393,0.00038069534639362246,0,2003-01-07
2,0.0008686709741596132,0.0005680087779182941,0,2003-01-07
3,0.0008353184617590159,0.0003182200453011319,0,2003-01-07
4,0.0006847079959698022,0.00035446615947876126,0,2003-01-07
5,0.0006472243054304272,0.0003194115561200306,0,2003-01-07
6,0.0006065371970180422,0.0003378763794898987,0,2003-01-07
7,0.0005504337779711932,0.0003227175184292719,0,2003-01-07
1,0.010444874215560654,0.000278348961728625,1,2003-07-09
2,0.0017064703085149329,0.0008871985774021596,1,2003-07-09
3,0.0013230446784291416,0.00017540208500577137,1,2003-07-09
4,0.0010823639701508607,0.0002833420876413584,1,2003-07-09
5,0.0008746529323010085,0.00022758066188544035,1,2003-07-09
6,0.0007419312848166252,0.0002977856056531891,1,2003-07-09
7,0.0007885916177959492,0.00021415478113340214,1,2003-07-09
1,0.001658173049301175,8.89854224321122e-05,2,2004-01-07
2,0.000630450649103815,0.00021642179247767976,2,2004-01-07
3,0.00039733033190714195,0.00011769555567298084,2,2004-01-07
4,0.0003401647772989236,6.691259962584202e-05,2,2004-01-07
5,0.0003028651574693088,7.334328377813411e-05,2,2004-01-07
6,0.0002837564846101616,9.061649325303733e-05,2,2004-01-07
7,0.00029953250694753867,5.3196829564209715e-05,2,2004-01-07
8,0.0004003751102053294,0.00013117623166181147,2,2004-01-07
9,0.00032231215553630524,7.68288421871451e-05,2,2004-01-07
10,0.00025406684134005833,0.00014225215515277037,2,2004-01-07
11,0.0002519039033878861,7.730185704228158e-05,2,2004-01-07
1,0.001565755729097873,0.00013266499445308,3,2004-07-09
2,0.0005774784212311108,5.547034500826461e-05,3,2004-07-09
3,0.00036724104817646247,6.96846836945042e-05,3,2004-07-09
4,0.0002994939364725724,8.223506786938135e-05,3,2004-07-09
5,0.00028482845906789106,5.9804903382125e-05,3,2004-07-09
6,0.0002704636048292741,6.0709334017398454e-05,3,2004-07-09
1,0.0008163121751482215,6.364307531233256e-05,4,2005-01-06
2,0.00035408489929977804,6.287239132992302e-05,4,2005-01-06
3,0.00027831156073850305,5.9981709152149655e-05,4,2005-01-06
4,0.0002808169879512314,6.571685177429269e-05,4,2005-01-06
5,0.000247469189001576,6.177165172024009e-05,4,2005-01-06
6,0.00024799269928788654,5.7038477583167456e-05,4,2005-01-06
7,0.0002444182532866869,6.312165108586972e-05,4,2005-01-06
8,0.00023662092537372648,5.393482691336734e-05,4,2005-01-06
9,0.00021757229114882648,5.836633499711752e-05,4,2005-01-06
10,0.00021619929997113477,5.830865726845028e-05,4,2005-01-06
11,0.00022177816615166033,5.80843358572262e-05,4,2005-01-06
12,0.00018768166688353042,6.003139787935652e-05,4,2005-01-06
1,0.001293603477901534,9.931662862072699e-05,5,2005-07-08
2,0.0005012297279838668,5.814381074742414e-05,5,2005-07-08
3,0.0004319497736440481,0.00010013256178353913,5,2005-07-08
4,0.0004217159156197388,6.095262233429821e-05,5,2005-07-08
5,0.0003386737478553857,5.5847479416115675e-05,5,2005-07-08
6,0.00039846934439418346,5.944921304035233e-05,5,2005-07-08
7,0.0003600361079933416,0.00010294289859302808,5,2005-07-08
8,0.00029748529394916997,6.066902096790727e-05,5,2005-07-08
9,0.0002864355276534824,5.436044193629641e-05,5,2005-07-08
10,0.0002541440166839349,4.698578322859248e-05,5,2005-07-08
11,0.0002606634960485328,4.849276956520043e-05,5,2005-07-08
12,0.0002681142037832423,4.960874230164336e-05,5,2005-07-08
13,0.0002304382849519913,4.732429897558177e-05,5,2005-07-08
14,0.0002628181736279083,5.248047000350198e-05,5,2005-07-08
1,0.0029926052171504124,0.00026852024166146293,6,2006-01-06
2,0.0007871365320170298,0.00015568041635560803,6,2006-01-06
3,0.0006527313191327267,5.987063832435524e-05,6,2006-01-06
4,0.0005996538820909336,4.381781354823033e-05,6,2006-01-06
5,0.0004611599011695944,0.00012356314982753247,6,2006-01-06
6,0.000508025380258914,0.00010717532313719857,6,2006-01-06
7,0.00046042474132264034,5.1915250878664665e-05,6,2006-01-06
8,0.00045424655982060356,6.354317793011433e-05,6,2006-01-06
1,0.0006080950499215925,9.65237595664803e-05,7,2006-07-10
2,0.0002219441098118709,5.0549383104225853e-05,7,2006-07-10
3,0.0001761455463234928,5.078261347080115e-05,7,2006-07-10
4,0.0001632681494150099,5.0793941227311734e-05,7,2006-07-10
5,0.00015681913547186096,5.665177741320804e-05,7,2006-07-10
6,0.0001601205516304948,4.849768583881087e-05,7,2006-07-10
7,0.00014780625034208325,5.328061342879664e-05,7,2006-07-10
8,0.00015062595808889125,5.065564801043365e-05,7,2006-07-10
9,0.00014389529877172953,5.0609859954420244e-05,7,2006-07-10
10,0.0001422481053106656,4.757521401188569e-05,7,2006-07-10
11,0.0001436499968059996,4.757242732011946e-05,7,2006-07-10
12,0.00013681282110734503,4.8818877530720783e-05,7,2006-07-10
13,0.00014159924070223826,4.767103882841184e-05,7,2006-07-10
14,0.00013963010133011267,4.987594866179279e-05,7,2006-07-10
15,0.00013640395098429343,4.9352814130543265e-05,7,2006-07-10
1,0.0009539886753676304,5.775752215413377e-05,8,2007-01-09
2,0.0003262786558480002,3.6454800101637376e-05,8,2007-01-09
3,0.0002581080686165175,5.8326749422121796e-05,8,2007-01-09
4,0.0002355031562425817,3.620067836891394e-05,8,2007-01-09
5,0.00020772251385399917,3.546754815033637e-05,8,2007-01-09
6,0.00018756301748605134,4.8020784379332324e-05,8,2007-01-09
7,0.00018541383390887253,3.6696558527182785e-05,8,2007-01-09
8,0.00018145381454814924,3.809094505413668e-05,8,2007-01-09
9,0.00017988210856856313,4.7376031216117556e-05,8,2007-01-09
1,0.001073017294984311,6.997635427978821e-05,9,2007-07-11
2,0.000501185538014397,6.886986084282398e-05,9,2007-07-11
3,0.0003923411329742521,7.04060228599701e-05,9,2007-07-11
4,0.0003557412780355662,5.620804695354309e-05,9,2007-07-11
5,0.0002916257025208324,4.9352578935213386e-05,9,2007-07-11
6,0.00027298127417452634,5.3000631305621936e-05,9,2007-07-11
7,0.00025977213226724416,5.6876029702834785e-05,9,2007-07-11
8,0.00025777192146051673,5.5697024072287606e-05,9,2007-07-11
9,0.00023293037374969572,6.888924690429121e-05,9,2007-07-11
1,0.001233323813519544,0.0001041150389937684,10,2008-01-09
2,0.0003147946926118392,0.00010331317753298208,10,2008-01-09
3,0.0002806435427542224,0.00011253663105890155,10,2008-01-09
4,0.0002530403995748471,0.00010462082136655226,10,2008-01-09
5,0.00023628992170819806,0.00012019499481539243,10,2008-01-09
6,0.00022243581231493777,0.00011559794947970658,10,2008-01-09
1,0.0003158901466843512,0.00014455202763201668,11,2008-07-10
2,0.0001288935023255582,0.00014232555840862915,11,2008-07-10
3,0.00013006899173668553,0.00014051433245185763,11,2008-07-10
4,0.00012374053867774662,0.00014250718377297744,11,2008-07-10
5,0.00012651648811979927,0.00014370668286574074,11,2008-07-10
6,0.00012067025184886257,0.00014679623709525912,11,2008-07-10
7,0.00012521275744677103,0.0001436825557902921,11,2008-07-10
1,0.0008193466094477723,0.0005295650626067072,12,2009-01-08
2,0.0002811128516138221,0.0005305679587763734,12,2009-01-08
3,0.0002391631433662648,0.000537252136079284,12,2009-01-08
4,0.00021598110567235077,0.0005344121357969319,12,2009-01-08
5,0.0001975493903349464,0.0005278054256147394,12,2009-01-08
6,0.0001798299602038848,0.0005378069423992807,12,2009-01-08
7,0.00017016297230535807,0.0005576118370906139,12,2009-01-08
8,0.00015420447186140034,0.0005665992163509751,12,2009-01-08
9,0.00015653901233842287,0.0005346071387369496,12,2009-01-08
1,0.0013375849539443152,0.000618422537324174,13,2009-07-10
2,0.0005273144515740569,0.0006124405044829473,13,2009-07-10
3,0.0004298515059417696,0.0006253261720606437,13,2009-07-10
4,0.0003703150632645702,0.0006140630624334639,13,2009-07-10
5,0.000349181402270915,0.0006072002991762323,13,2009-07-10
6,0.00029094369301674305,0.0006474447218351997,13,2009-07-10
7,0.0002778640900942264,0.0006218372024401712,13,2009-07-10
8,0.000250872716151207,0.0006454269653962305,13,2009-07-10
9,0.0002272533429277246,0.0006272159759343291,13,2009-07-10
1,0.0024564667666495286,0.0006794456373124073,14,2010-01-08
2,0.0006285435049315257,0.0006779913273931015,14,2010-01-08
3,0.0004716420071952812,0.0006314664242381696,14,2010-01-08
4,0.0004409158812931684,0.0008100358621353129,14,2010-01-08
5,0.00039939974564785026,0.0007439779389339188,14,2010-01-08
6,0.0003308601016589605,0.0006722490446312198,14,2010-01-08
7,0.0003246240500148441,0.0007251918771847462,14,2010-01-08
1,0.000295979665159913,0.00024209577532019466,15,2010-07-12
2,0.00019028306913761688,0.00024095361628237048,15,2010-07-12
3,0.00018477048309120748,0.00023709161385860561,15,2010-07-12
4,0.000185626614672531,0.0002381906722023684,15,2010-07-12
5,0.00018554989157044995,0.000248898914183623,15,2010-07-12
6,0.00018464039811598402,0.00023743767919118648,15,2010-07-12
7,0.00018465003813616931,0.000239574267262859,15,2010-07-12
1,0.0008721251899653391,0.0001565568132459053,16,2011-01-07
2,0.00038504118817178786,0.0001238664158985817,16,2011-01-07
