fold,train_end,test_start,test_end,n_train_seq,n_test_seq,best_val_loss
0,2003-01-07,2003-01-08,2003-07-09,727,126,0.001436636404832825
1,2003-07-09,2003-07-10,2004-01-07,853,126,0.0008169879438355565
2,2004-01-07,2004-01-08,2004-07-09,979,126,0.0008277497060286502
3,2004-07-09,2004-07-12,2005-01-06,1105,126,0.0004064007371198386
4,2005-01-06,2005-01-07,2005-07-08,1231,126,0.0003608887006218235
5,2005-07-08,2005-07-11,2006-01-06,1357,126,0.00025904793801601045
6,2006-01-06,2006-01-09,2006-07-10,1483,126,0.00017616200057091191
7,2006-07-10,2006-07-11,2007-01-09,1609,126,0.000207254481210839
8,2007-01-09,2007-01-10,2007-07-11,1735,126,0.0001520826597698033
9,2007-07-11,2007-07-12,2008-01-09,1861,126,0.00021764061675639824
10,2008-01-09,2008-01-10,2008-07-10,1987,126,0.00040770956547930837
11,2008-07-10,2008-07-11,2009-01-08,2113,126,0.0006049348507076502
12,2009-01-08,2009-01-09,2009-07-10,2239,126,0.0035313096401902535
13,2009-07-10,2009-07-13,2010-01-08,2365,126,0.002774559068105494
14,2010-01-08,2010-01-11,2010-07-12,2491,126,0.002666313434019685
15,2010-07-12,2010-07-13,2011-01-07,2617,126,0.0013016219475373095
16,2011-01-07,2011-01-10,2011-07-11,2743,126,0.0006480299385397562
17,2011-07-11,2011-07-12,2012-01-09,2869,126,0.0005091615187536393
18,2012-01-09,2012-01-10,2012-07-10,2995,126,0.000753312316192023
19,2012-07-10,2012-07-11,2013-01-10,3121,126,0.0011048343440052122
20,2013-01-10,2013-01-11,2013-07-12,3247,126,0.0006374760778271593
21,2013-07-12,2013-07-15,2014-01-10,3373,126,0.0007053360150166554
22,2014-01-10,2014-01-13,2014-07-14,3499,126,0.00039518705549805116
23,2014-07-14,2014-07-15,2015-01-12,3625,126,0.00024650289884044067
24,2015-01-12,2015-01-13,2015-07-14,3751,126,0.0002650536076139866
25,2015-07-14,2015-07-15,2016-01-12,3877,126,0.0003119599845376797
26,2016-01-12,2016-01-13,2016-07-13,4003,126,0.00038501646486110985
27,2016-07-13,2016-07-14,2017-01-11,4129,126,0.0003630622144555673
28,2017-01-11,2017-01-12,2017-07-13,4255,126,0.0003668003191705793
29,2017-07-13,2017-07-14,2018-01-11,4381,126,0.000289506851748394
30,2018-01-11,2018-01-12,2018-07-13,4507,126,0.00026073244887150145
31,2018-07-13,2018-07-16,2019-01-14,4633,126,0.0002630604636082849
32,2019-01-14,2019-01-15,2019-07-16,4759,126,0.00031809033680474386
33,2019-07-16,2019-07-17,2020-01-14,4885,126,0.00029588287967878085
34,2020-01-14,2020-01-15,2020-07-15,5011,126,0.00030289725934077677
35,2020-07-15,2020-07-16,2021-01-13,5137,126,0.0007163300027829022
36,2021-01-13,2021-01-14,2021-07-15,5263,126,0.0008107810784937241
37,2021-07-15,2021-07-16,2022-01-12,5389,126,0.0007645871267483856
38,2022-01-12,2022-01-13,2022-07-15,5515,126,0.000820511931893774
39,2022-07-15,2022-07-18,2023-01-13,5641,126,0.0008521229714720643
40,2023-01-13,2023-01-17,2023-07-18,5767,126,0.0009605201058937902
41,2023-07-18,2023-07-19,2024-01-17,5893,126,0.0009359198905128453
42,2024-01-17,2024-01-18,2024-07-18,6019,126,0.0005356520511365185
43,2024-07-18,2024-07-19,2025-01-17,6145,126,0.0004943239638426651
44,2025-01-17,2025-01-21,2025-07-22,6271,126,0.0006880851132639994
45,2025-07-22,2025-07-23,2025-12-22,6397,107,0.0006253530931038161
