epoch,train_loss,val_loss,fold,train_end
1,0.0020052369043696673,0.00034173943276982754,0,2003-01-07
2,0.0006247928133234382,0.0003748742747120559,0,2003-01-07
3,0.0004372747265733778,0.00032373291469411924,0,2003-01-07
4,0.00042041579145006834,0.00031045365176396444,0,2003-01-07
5,0.00035298476868774744,0.0003102985501755029,0,2003-01-07
6,0.00029482958634616805,0.00032723889307817444,0,2003-01-07
7,0.0003239299214328639,0.00031385452166432515,0,2003-01-07
8,0.00030006140877958387,0.000305186549667269,0,2003-01-07
9,0.00026316424773540346,0.00031530288833891973,0,2003-01-07
10,0.00027366244321456177,0.00031773806404089555,0,2003-01-07
11,0.00028081942436983807,0.0003135992228635587,0,2003-01-07
12,0.0002776830951916054,0.0003309327730676159,0,2003-01-07
1,0.005876453942619264,0.0004388828529044986,1,2003-07-09
2,0.0015103588618027668,0.0003897584756487049,1,2003-07-09
3,0.0010844463055642943,0.0001960736044566147,1,2003-07-09
4,0.0008747050742385909,0.00020399445202201605,1,2003-07-09
5,0.0007569625377072953,0.00017208175995619968,1,2003-07-09
6,0.000755562354849341,0.0001722731758491136,1,2003-07-09
7,0.0007283690307910243,0.00018998072482645512,1,2003-07-09
8,0.0006480324664153159,0.00018126110080629587,1,2003-07-09
9,0.0005998160098291313,0.00019471301857265644,1,2003-07-09
1,0.002529844037781004,0.0002099926205119118,2,2004-01-07
2,0.0009408416559121438,6.463692261604592e-05,2,2004-01-07
3,0.000743624278291983,7.035309924200799e-05,2,2004-01-07
4,0.0006879263362082254,8.549840761891876e-05,2,2004-01-07
5,0.0008570189321679729,7.015122658534285e-05,2,2004-01-07
6,0.0007600346788032246,0.0004500863627375414,2,2004-01-07
1,0.0038557482495283086,0.0001384877396048978,3,2004-07-09
2,0.0009311993567583461,5.763801285259736e-05,3,2004-07-09
3,0.0006935610629928609,0.00018243317996772626,3,2004-07-09
4,0.0005790694364501784,6.478087743744254e-05,3,2004-07-09
5,0.00048478693740131956,5.760124016281528e-05,3,2004-07-09
6,0.0005063305958174169,6.955641219974495e-05,3,2004-07-09
7,0.0004486417669492463,6.774859745443489e-05,3,2004-07-09
8,0.0004369009965254615,8.639436903952931e-05,3,2004-07-09
9,0.0004259270111409326,7.913844456197694e-05,3,2004-07-09
1,0.0021560377037317,9.168245014734566e-05,4,2005-01-06
2,0.0005211828273091027,6.556887092301622e-05,4,2005-01-06
3,0.0003430543395498877,5.6678687542444095e-05,4,2005-01-06
4,0.0002922930331859628,5.756782411481254e-05,4,2005-01-06
