feature,mean_abs_shap
CPIAUCSL,0.004711529475390309
sp500_macd,0.004380969465354278
sp500_macd_hist,0.004159923402435578
UNRATE,0.004078525981651443
sp500_macd_signal,0.003230548075855527
sp500_rsi,0.0022735651500000276
CPIAUCSL_diff,0.002186393377804868
VIX,0.0017360616582638548
sp500_bb_width,0.0011377875276861356
INDPRO,0.0010799191902339188
sp500_realized_vol_5d,0.001059411830545658
sp500_realized_vol_21d,0.0010058391320168065
T10Y2Y,0.0009148315423431762
DFF_diff,0.0008774031965415974
UNRATE_diff,0.0008749309212581761
VIX_percentile,0.0008595366563244351
DFF,0.0007752078028855951
INDPRO_diff,0.0007172129542282876
XLRE_log_return,0.0006866765262903396
VIX_term_ratio,0.0005918815835641072
sp500_log_return,0.0005088066778172874
XLI_log_return,0.0004998377558192344
XLK_log_return,0.00046172990314012586
XLU_log_return,0.0004530478130874887
T10Y2Y_diff,0.00042310217006765637
XLB_log_return,0.0004201040293053828
XLV_log_return,0.0003943967745361213
XLE_log_return,0.0003748833461921666
XLY_log_return,0.0003409266144413592
sent_momentum,0.0003267599484341068
XLP_log_return,0.0002994406834926151
XLF_log_return,0.00029277500252843883
sent_mean,0.0001458971700022092
sent_max_neg,0.00010640600053113759
sent_weighted,4.249753769026486e-05
sent_article_count,4.0383311179819776e-05
XLC_log_return,0.0
