fold,train_end,test_start,test_end,n_train_seq,n_test_seq,best_val_loss
0,2003-01-07,2003-01-08,2003-07-09,727,126,0.0009718560904730111
1,2003-07-09,2003-07-10,2004-01-07,853,126,0.0008431416936218739
2,2004-01-07,2004-01-08,2004-07-09,979,126,0.0004757238202728331
3,2004-07-09,2004-07-12,2005-01-06,1105,126,0.0007033055201948931
4,2005-01-06,2005-01-07,2005-07-08,1231,126,0.0002980226612028976
5,2005-07-08,2005-07-11,2006-01-06,1357,126,0.0002961911632155534
6,2006-01-06,2006-01-09,2006-07-10,1483,126,0.0002662961669557262
7,2006-07-10,2006-07-11,2007-01-09,1609,126,0.0002692747220862657
8,2007-01-09,2007-01-10,2007-07-11,1735,126,0.00042975391552317886
9,2007-07-11,2007-07-12,2008-01-09,1861,126,0.0004091766895726323
10,2008-01-09,2008-01-10,2008-07-10,1987,126,0.00048777622578199953
11,2008-07-10,2008-07-11,2009-01-08,2113,126,0.0008710879774298519
12,2009-01-08,2009-01-09,2009-07-10,2239,126,0.002025427650854302
13,2009-07-10,2009-07-13,2010-01-08,2365,126,0.0025654780329205096
14,2010-01-08,2010-01-11,2010-07-12,2491,126,0.0025786294330221913
15,2010-07-12,2010-07-13,2011-01-07,2617,126,0.0013393507854613876
16,2011-01-07,2011-01-10,2011-07-11,2743,126,0.0005830570340289601
17,2011-07-11,2011-07-12,2012-01-09,2869,126,0.0005315333796066365
18,2012-01-09,2012-01-10,2012-07-10,2995,126,0.0007922805252746912
19,2012-07-10,2012-07-11,2013-01-10,3121,126,0.0009626710052543785
20,2013-01-10,2013-01-11,2013-07-12,3247,126,0.002748909559159074
21,2013-07-12,2013-07-15,2014-01-10,3373,126,0.0010443235787533922
22,2014-01-10,2014-01-13,2014-07-14,3499,126,0.0013915172280071096
23,2014-07-14,2014-07-15,2015-01-12,3625,126,0.0003159784424092828
24,2015-01-12,2015-01-13,2015-07-14,3751,126,0.00037235165655147284
25,2015-07-14,2015-07-15,2016-01-12,3877,126,0.000497556189657189
26,2016-01-12,2016-01-13,2016-07-13,4003,126,0.000600983580807224
27,2016-07-13,2016-07-14,2017-01-11,4129,126,0.0004858953092480078
28,2017-01-11,2017-01-12,2017-07-13,4255,126,0.0006078017759136856
29,2017-07-13,2017-07-14,2018-01-11,4381,126,0.0005457111454399472
30,2018-01-11,2018-01-12,2018-07-13,4507,126,0.00034207775024697185
31,2018-07-13,2018-07-16,2019-01-14,4633,126,0.0006470908543137325
32,2019-01-14,2019-01-15,2019-07-16,4759,126,0.0003543270649970509
33,2019-07-16,2019-07-17,2020-01-14,4885,126,0.0004955292327698165
34,2020-01-14,2020-01-15,2020-07-15,5011,126,0.00042164677142864093
35,2020-07-15,2020-07-16,2021-01-13,5137,126,0.0008686338898349697
36,2021-01-13,2021-01-14,2021-07-15,5263,126,0.0008522515843371645
37,2021-07-15,2021-07-16,2022-01-12,5389,126,0.0014070975213633994
38,2022-01-12,2022-01-13,2022-07-15,5515,126,0.0012867550114886118
39,2022-07-15,2022-07-18,2023-01-13,5641,126,0.0008912024994580341
40,2023-01-13,2023-01-17,2023-07-18,5767,126,0.0013144071812608413
41,2023-07-18,2023-07-19,2024-01-17,5893,126,0.001019396012582417
42,2024-01-17,2024-01-18,2024-07-18,6019,126,0.0008975434718498339
43,2024-07-18,2024-07-19,2025-01-17,6145,126,0.0005860527235199697
44,2025-01-17,2025-01-21,2025-07-22,6271,126,0.0007004560689286639
45,2025-07-22,2025-07-23,2025-12-22,6397,107,0.0010819594812346623
