model,regime,sharpe,sortino,max_dd,calmar,ann_return,ic,hit_rate,turnover,n
lstm_fwd_return_1d_regime_agnostic__regime_sized,Extreme,-0.2897,-0.3696,-0.2114,-0.2039,-0.0431,-0.0121,0.5054,0.088,560
lstm_fwd_return_1d_regime_agnostic__regime_sized,Normal,0.3567,0.4281,-0.1662,0.1729,0.0287,0.0315,0.5043,0.1562,1614
lstm_fwd_return_1d_regime_conditioned__regime_sized,Bear/Crisis,0.069,0.0778,-0.17,0.0404,0.0069,0.0208,0.5079,0.1194,1016
lstm_fwd_return_1d_regime_conditioned__regime_sized,Bull,-0.6697,-0.6992,-0.4356,-0.1151,-0.0501,-0.046,0.5031,0.1831,2590
lstm_fwd_return_1d_regime_conditioned__regime_sized,Extreme,-0.3403,-0.404,-0.1988,-0.2643,-0.0525,0.0213,0.4875,0.1002,560
lstm_fwd_return_1d_regime_conditioned__regime_sized,Normal,-0.4776,-0.5328,-0.3104,-0.139,-0.0431,-0.0274,0.4827,0.1592,1614
lstm_fwd_return_5d_regime_agnostic__regime_sized,Bear/Crisis,0.6805,1.0442,-0.5602,0.3139,0.1758,0.0092,0.5295,0.2069,1016
lstm_fwd_return_5d_regime_agnostic__regime_sized,Bull,-0.0625,-0.0908,-0.7079,-0.0196,-0.0139,0.0305,0.5058,0.4302,2586
lstm_fwd_return_5d_regime_agnostic__regime_sized,Extreme,-0.3419,-0.4447,-0.5627,-0.1852,-0.1042,-0.0526,0.4893,0.1746,560
lstm_fwd_return_5d_regime_agnostic__regime_sized,Normal,-1.1005,-1.4951,-0.9299,-0.2941,-0.2735,-0.0651,0.4864,0.2738,1614
lstm_fwd_return_5d_regime_conditioned__regime_sized,Bear/Crisis,0.3517,0.5094,-0.4794,0.1822,0.0874,0.0678,0.501,0.1076,1016
lstm_fwd_return_5d_regime_conditioned__regime_sized,Bull,-0.0212,-0.029,-0.753,-0.006,-0.0045,-0.0111,0.5116,0.181,2586
lstm_fwd_return_5d_regime_conditioned__regime_sized,Extreme,-0.222,-0.2793,-0.6831,-0.0983,-0.0672,-0.0174,0.5161,0.0644,560
lstm_fwd_return_5d_regime_conditioned__regime_sized,Normal,-0.9174,-1.1582,-0.887,-0.2491,-0.2209,-0.0471,0.4802,0.1468,1614
ridge_fwd_return_1d_regime_agnostic__regime_sized,Bear/Crisis,-1.0342,-1.1996,-0.4255,-0.2466,-0.1049,0.0175,0.4973,0.3451,1126
ridge_fwd_return_1d_regime_agnostic__regime_sized,Bull,-0.7765,-0.805,-0.4211,-0.1207,-0.0508,-0.0175,0.4811,0.4021,2590
ridge_fwd_return_1d_regime_agnostic__regime_sized,Extreme,-0.6204,-0.7952,-0.3075,-0.2979,-0.0916,0.0221,0.4923,0.2484,650
ridge_fwd_return_1d_regime_agnostic__regime_sized,Normal,-1.1586,-1.2882,-0.5032,-0.1905,-0.0959,0.0269,0.507,0.4117,1645
ridge_fwd_return_1d_regime_conditioned__regime_sized,Bear/Crisis,-1.4774,-1.93,-0.5834,-0.2877,-0.1678,-0.0257,0.5016,0.2787,1226
ridge_fwd_return_1d_regime_conditioned__regime_sized,Bull,-0.6795,-0.6707,-0.4617,-0.1032,-0.0476,0.0084,0.5171,0.3656,2512
ridge_fwd_return_1d_regime_conditioned__regime_sized,Extreme,-0.5252,-0.6942,-0.2589,-0.316,-0.0818,0.037,0.5054,0.1834,651
ridge_fwd_return_1d_regime_conditioned__regime_sized,Normal,0.0435,0.0545,-0.2771,0.0149,0.0041,0.0403,0.5087,0.3644,1722
ridge_fwd_return_5d_regime_agnostic__regime_sized,Bear/Crisis,0.6326,0.9158,-0.3464,0.4387,0.1519,0.0605,0.5231,0.2901,1126
ridge_fwd_return_5d_regime_agnostic__regime_sized,Bull,-0.4356,-0.5835,-0.7781,-0.1164,-0.0906,-0.0268,0.495,0.3861,2586
ridge_fwd_return_5d_regime_agnostic__regime_sized,Extreme,-0.8142,-1.0689,-0.594,-0.4109,-0.2441,-0.1181,0.4892,0.1676,650
ridge_fwd_return_5d_regime_agnostic__regime_sized,Normal,-0.2813,-0.3801,-0.796,-0.0829,-0.066,0.0177,0.5082,0.3328,1645
ridge_fwd_return_5d_regime_conditioned__regime_sized,Bear/Crisis,0.4027,0.627,-0.5064,0.202,0.1023,0.0104,0.5114,0.2351,1226
ridge_fwd_return_5d_regime_conditioned__regime_sized,Bull,0.2164,0.2976,-0.7203,0.0641,0.0462,0.0476,0.5163,0.3849,2508
ridge_fwd_return_5d_regime_conditioned__regime_sized,Extreme,0.0319,0.0428,-0.6121,0.0158,0.0097,0.0155,0.5131,0.1354,651
ridge_fwd_return_5d_regime_conditioned__regime_sized,Normal,0.5141,0.6699,-0.6175,0.2076,0.1282,0.0719,0.5389,0.2417,1722
tft_fwd_return_1d_regime_agnostic__regime_sized,Bear/Crisis,0.4853,0.5997,-0.2355,0.2217,0.0522,0.0404,0.5059,0.3009,1016
tft_fwd_return_1d_regime_agnostic__regime_sized,Bull,-0.2307,-0.2841,-0.288,-0.0648,-0.0187,0.0048,0.4799,0.4229,2590
tft_fwd_return_1d_regime_agnostic__regime_sized,Extreme,-1.6774,-1.8666,-0.4454,-0.5108,-0.2275,0.0225,0.4857,0.1589,560
tft_fwd_return_1d_regime_agnostic__regime_sized,Normal,-0.4769,-0.5946,-0.3632,-0.1222,-0.0444,-0.0033,0.4888,0.3278,1614
tft_fwd_return_1d_regime_conditioned__regime_sized,Bear/Crisis,-0.027,-0.0342,-0.288,-0.0101,-0.0029,0.0268,0.5,0.2022,1016
tft_fwd_return_1d_regime_conditioned__regime_sized,Bull,-0.1655,-0.1981,-0.2991,-0.0452,-0.0135,0.0112,0.5042,0.3048,2590
tft_fwd_return_1d_regime_conditioned__regime_sized,Extreme,0.0995,0.1333,-0.275,0.0567,0.0156,0.0381,0.5018,0.1603,560
tft_fwd_return_1d_regime_conditioned__regime_sized,Normal,-0.4147,-0.5167,-0.403,-0.0975,-0.0393,-0.0246,0.4957,0.2763,1614
tft_fwd_return_5d_regime_agnostic__regime_sized,Bear/Crisis,-0.3857,-0.5586,-0.55,-0.1771,-0.0974,0.0878,0.5157,0.3322,1016
tft_fwd_return_5d_regime_agnostic__regime_sized,Bull,-0.2687,-0.3929,-0.7304,-0.0767,-0.056,-0.0122,0.4911,0.4809,2586
tft_fwd_return_5d_regime_agnostic__regime_sized,Extreme,-1.9118,-2.4627,-0.7973,-0.7128,-0.5683,0.0427,0.4714,0.166,560
tft_fwd_return_5d_regime_agnostic__regime_sized,Normal,-1.0677,-1.5251,-0.8932,-0.2744,-0.2451,-0.0198,0.4616,0.3308,1614
tft_fwd_return_5d_regime_conditioned__regime_sized,Bear/Crisis,0.095,0.1505,-0.5083,0.0456,0.0232,0.0036,0.4862,0.3358,1016
tft_fwd_return_5d_regime_conditioned__regime_sized,Bull,-0.2572,-0.3733,-0.8446,-0.067,-0.0566,-0.0028,0.5019,0.4634,2586
tft_fwd_return_5d_regime_conditioned__regime_sized,Extreme,-1.0846,-1.5012,-0.6537,-0.5004,-0.3271,-0.0719,0.4625,0.1216,560
tft_fwd_return_5d_regime_conditioned__regime_sized,Normal,-0.4518,-0.6309,-0.8668,-0.1256,-0.1089,-0.0545,0.4888,0.3551,1614
