fold,train_end,test_start,test_end,n_train_seq,n_test_seq,best_val_loss
0,2003-01-07,2003-01-08,2003-07-09,727,126,0.000305186549667269
1,2003-07-09,2003-07-10,2004-01-07,853,126,0.00017208175995619968
2,2004-01-07,2004-01-08,2004-07-09,979,126,6.463692261604592e-05
3,2004-07-09,2004-07-12,2005-01-06,1105,126,5.760124016281528e-05
4,2005-01-06,2005-01-07,2005-07-08,1231,126,5.321601687076812e-05
5,2005-07-08,2005-07-11,2006-01-06,1357,126,4.7634989641665015e-05
6,2006-01-06,2006-01-09,2006-07-10,1483,126,4.180688074484351e-05
7,2006-07-10,2006-07-11,2007-01-09,1609,126,5.135498622621526e-05
8,2007-01-09,2007-01-10,2007-07-11,1735,126,3.3753455318219495e-05
9,2007-07-11,2007-07-12,2008-01-09,1861,126,4.802026596735231e-05
10,2008-01-09,2008-01-10,2008-07-10,1987,126,0.00010173408627451863
11,2008-07-10,2008-07-11,2009-01-08,2113,126,0.0001447444738005288
12,2009-01-08,2009-01-09,2009-07-10,2239,126,0.0005169107632051843
13,2009-07-10,2009-07-13,2010-01-08,2365,126,0.0006030770819052123
14,2010-01-08,2010-01-11,2010-07-12,2491,126,0.0005755353183000503
15,2010-07-12,2010-07-13,2011-01-07,2617,126,0.00024515874247299507
16,2011-01-07,2011-01-10,2011-07-11,2743,126,0.00011688073313312739
17,2011-07-11,2011-07-12,2012-01-09,2869,126,0.00010618979493821306
18,2012-01-09,2012-01-10,2012-07-10,2995,126,0.00017251830286113545
19,2012-07-10,2012-07-11,2013-01-10,3121,126,0.0001541924470984668
20,2013-01-10,2013-01-11,2013-07-12,3247,126,0.0001430917004654475
21,2013-07-12,2013-07-15,2014-01-10,3373,126,0.00013827306929670158
22,2014-01-10,2014-01-13,2014-07-14,3499,126,6.367520755803626e-05
23,2014-07-14,2014-07-15,2015-01-12,3625,126,5.366463503580437e-05
24,2015-01-12,2015-01-13,2015-07-14,3751,126,5.313818857959834e-05
25,2015-07-14,2015-07-15,2016-01-12,3877,126,5.346912148525007e-05
26,2016-01-12,2016-01-13,2016-07-13,4003,126,8.151882866513915e-05
27,2016-07-13,2016-07-14,2017-01-11,4129,126,7.924284054752206e-05
28,2017-01-11,2017-01-12,2017-07-13,4255,126,8.162647172866855e-05
29,2017-07-13,2017-07-14,2018-01-11,4381,126,6.901219190198886e-05
30,2018-01-11,2018-01-12,2018-07-13,4507,126,5.9984596935630016e-05
31,2018-07-13,2018-07-16,2019-01-14,4633,126,6.287832349533511e-05
32,2019-01-14,2019-01-15,2019-07-16,4759,126,7.423243278026348e-05
33,2019-07-16,2019-07-17,2020-01-14,4885,126,6.126253879301657e-05
34,2020-01-14,2020-01-15,2020-07-15,5011,126,6.627663772936405e-05
35,2020-07-15,2020-07-16,2021-01-13,5137,126,0.00018962818439131996
36,2021-01-13,2021-01-14,2021-07-15,5263,126,0.00019630167130694294
37,2021-07-15,2021-07-16,2022-01-12,5389,126,0.00019285243671709814
38,2022-01-12,2022-01-13,2022-07-15,5515,126,0.00020345097716646985
39,2022-07-15,2022-07-18,2023-01-13,5641,126,0.0002087777502310928
40,2023-01-13,2023-01-17,2023-07-18,5767,126,0.00023268693517560938
41,2023-07-18,2023-07-19,2024-01-17,5893,126,0.00023094976105702308
42,2024-01-17,2024-01-18,2024-07-18,6019,126,0.00011540019913809374
43,2024-07-18,2024-07-19,2025-01-17,6145,126,0.00010903733491431921
44,2025-01-17,2025-01-21,2025-07-22,6271,126,0.00010999119986081496
45,2025-07-22,2025-07-23,2025-12-29,6397,111,0.0001381374890722024
