epoch,train_loss,val_loss,fold,train_end
1,0.004008135118056089,0.0011150587524753064,0,2003-01-07
2,0.0017053112271241844,0.0009718560904730111,0,2003-01-07
3,0.001490081421798095,0.0010737816046457738,0,2003-01-07
4,0.0012031811173073947,0.0011301711783744395,0,2003-01-07
5,0.0011069265310652554,0.0010540395160205662,0,2003-01-07
6,0.0009896085015498103,0.000977994204731658,0,2003-01-07
1,0.0019704859781389437,0.001063011004589498,1,2003-07-09
2,0.0014516183534093823,0.0011413058382458985,1,2003-07-09
3,0.0012499796284828335,0.0010393598349764943,1,2003-07-09
4,0.0011163201027860243,0.0008687749214004725,1,2003-07-09
5,0.0009959582869972412,0.0008431416936218739,1,2003-07-09
6,0.0009355878185791274,0.0009255239856429398,1,2003-07-09
7,0.0009242026135325432,0.0009576796728651971,1,2003-07-09
8,0.0007896685080292324,0.0008682985790073872,1,2003-07-09
9,0.0007737689593341202,0.0009959663730114698,1,2003-07-09
1,0.0021872979247876045,0.0006586072850041091,2,2004-01-07
2,0.0013307894545765261,0.000682518701069057,2,2004-01-07
3,0.00132965442026034,0.0004905745930348834,2,2004-01-07
4,0.001591782081439825,0.0004757238202728331,2,2004-01-07
5,0.0010390712351571502,0.0005643425198892752,2,2004-01-07
6,0.0009762761266236859,0.0007992134584734837,2,2004-01-07
7,0.0009336396095542503,0.0007849760004319251,2,2004-01-07
8,0.001185994516293119,0.0006922538935517272,2,2004-01-07
1,0.01239604145909349,0.005208651535212994,3,2004-07-09
2,0.0028357753219703835,0.0009203984324509898,3,2004-07-09
3,0.0022339823422953486,0.0010439757024869323,3,2004-07-09
4,0.001857362547889352,0.0010538588976487517,3,2004-07-09
5,0.00164903273107484,0.0008352141982565323,3,2004-07-09
6,0.0015007075232764085,0.0007921265593419472,3,2004-07-09
7,0.0013695204358858367,0.0007404451801752051,3,2004-07-09
8,0.0014042753105362256,0.0007835319168710461,3,2004-07-09
9,0.0013632353084782759,0.0008429486770182848,3,2004-07-09
10,0.001195696093297253,0.0007033055201948931,3,2004-07-09
11,0.001163954648654908,0.0007730324480993053,3,2004-07-09
12,0.0010557094433655341,0.0008397700924736758,3,2004-07-09
13,0.001145852830571433,0.0007369085409057637,3,2004-07-09
14,0.0009637259528972209,0.0007145118822033206,3,2004-07-09
1,0.015976485138868585,0.006883049073318641,4,2005-01-06
2,0.0038118628264569186,0.0006590653986980518,4,2005-01-06
3,0.002475424121846171,0.00045625219354406,4,2005-01-06
4,0.0020545652711435277,0.0004786067099000017,4,2005-01-06
5,0.0016257998067885637,0.00034697110337826115,4,2005-01-06
6,0.0015039801844121778,0.00031091396522242576,4,2005-01-06
7,0.0014669250984511832,0.00031369012625267106,4,2005-01-06
8,0.0014805659747627728,0.00032369101730485755,4,2005-01-06
9,0.001393584387294729,0.0002980226612028976,4,2005-01-06
10,0.0012893971322816523,0.0003025386928735922,4,2005-01-06
11,0.0012038610567448333,0.00033796207086804014,4,2005-01-06
