date,regime,pred_return,signal,notional,order_id,order_status,vix,sp500_return,agreement,n_active_models
2026-04-07,Bear/Crisis,-0.00499,flat,0.0,,flat,25.780000686645508,0.0007589600331270599,0.5,4
2026-04-08,Bear/Crisis,-0.003,sell,6000.0,3c433ecf-f192-4802-ae85-7c6a44bb292b,OrderStatus.FILLED,21.040000915527344,0.024772038357183543,0.75,4
2026-04-09,Bear/Crisis,-0.003714,flat,0.0,,flat,19.489999771118164,0.006151066869514015,0.25,4
2026-04-10,Bear/Crisis,-0.005195,flat,0.0,,flat,19.229999542236328,-0.0011391696991393636,0.5,4
2026-04-13,Bear/Crisis,-0.005245,flat,0.0,,flat,19.1200008392334,0.010121875493741075,0.5,4
2026-04-14,Bear/Crisis,-0.00623,flat,0.0,,flat,18.360000610351562,0.011713988916143619,0.5,4
2026-04-15,Bear/Crisis,-0.007268,flat,0.0,,flat,18.170000076293945,0.00794414491156507,0.5,4
2026-04-16,Bear/Crisis,-0.007536,flat,0.0,,flat,17.940000534057617,0.002606555815286028,0.5,4
2026-04-17,Bear/Crisis,-0.007106,flat,0.0,,flat,17.479999542236328,0.011968553928737802,0.5,4
2026-04-20,Bear/Crisis,-0.006393,flat,0.0,,flat,18.8700008392334,-0.0023771959102520377,0.5,4
2026-04-21,Bear/Crisis,-0.007312,flat,0.0,,flat,19.5,-0.00636845358085314,0.5,4
